,Standard Name,Summary
409,SaskPower,"Saskatchewan Power Corporation, operating as SaskPower, is the principal electric utility in Saskatchewan, Canada. Established in 1929 by the provincial government, it serves more than 538,000 customers and manages over $11.8 billion in assets. SaskPower is a major employer in the province with over 3,100 permanent full-time staff located in approximately 70 communities."
410,SaskTel,"Saskatchewan Telecommunications Holding Corporation, operating as SaskTel, is a Canadian crown-owned telecommunications firm based in the province of Saskatchewan. Owned by the provincial government, it provides wireline and wireless communications services, including landline telephone, mobile networks, broadband internet (including copper DSL, fibre to the home, and wireless broadband), IPTV, and security services. Through a subsidiary, SaskTel International, the company has also worked on telecom infrastructure projects in countries such as Argentina and the Bahamas, as well as being the lead implementation company for the communication and control systems of the Channel Tunnel between England and France.As of 2018, SaskTel serves around 1.4 million customers, and has an annual revenue of around CA$1.2 billion."
411,Save-On-Foods,"Save-On-Foods is a chain of supermarkets located across Western Canada, owned by the Overwaitea Food Group.
Stores carry both standard brands and private label brands, such as Western Family. Many stores have a pharmacy, and some locations provide other services, including nutrition tours and health clinics, as well as other features such as Starbucks Coffee kiosks, juice bars, and departments featuring BC wines. Today, Save-On-Foods operates 177 stores across British Columbia, Alberta, Saskatchewan, Manitoba and the Yukon Territory."
412,Scotiabank,"The Bank of Nova Scotia (French: La Banque de Nouvelle-Écosse), operating as Scotiabank (French: Banque Scotia), is a Canadian multinational banking and financial services company headquartered in Toronto, Ontario. One of Canada's Big Five banks, it is the third largest Canadian bank by deposits and market capitalization. It serves more than 25 million customers around the world and offers a range of products and services including personal and commercial banking, wealth management, corporate and investment banking. With more than 92,001 employees and assets of CA$1,136 billion (according to 2020 annual report), Scotiabank trades on the Toronto (TSX: BNS) and New York (NYSE: BNS) exchanges. The Scotiabank swift code is NOSCCATT and the institution number is 002.Scotiabank was founded in 1832 in Halifax, Nova Scotia, where it was headquartered until relocating to Toronto in 1900. Scotiabank has billed itself as ""Canada's most international bank"" due to its acquisitions primarily in Latin America and the Caribbean, and also in Europe and parts of Asia. Scotiabank is a member of the London Bullion Market Association and one of fifteen accredited institutions which participate in the London gold fixing. From 1997 to 2019, this was conducted through its precious metals division ScotiaMocatta.Scotiabank is led by President and CEO Brian J. Porter."
413,Sears Canada,"Sears Canada Inc. was a publicly-traded Canadian company affiliated with the American-based Sears department store chain. In operation from 1952 until January 14, 2018, and headquartered in Toronto, Ontario, the company began as Simpsons-Sears—a joint venture between the Canadian Simpsons department store chain and the American Sears chain—which operated a national mail order business and co-branded Simpsons-Sears stores modelled after those of Sears in the U.S. After the Hudson's Bay Company purchased Simpsons in 1978, the joint venture was dismantled and Hudson's Bay sold its shares in the joint venture to Sears; with Sears now fully owning the company, it was renamed Sears Canada Inc. in 1984. In 1999, Sears Canada acquired the remaining assets and locations of the historic Canadian chain Eaton's. From 2014, Sears Holdings owned a 10% share in the company. ESL Investments was the largest shareholder of Sears Canada.
In 2016, Sears Canada had a network that included 140 corporate stores (including full-line, Sears Home, and Sears Outlet stores), 71 Hometown stores, over 900 catalogue, and online merchandise pick-up locations, 69 Sears Travel offices, and a nationwide repair and service network. The company also published a general merchandise catalogue until the last quarter of 2016 and offered shopping online at sears.ca until October 19, 2017.After filing for creditor protection in June 2017, Sears Canada announced it would close 20 full-line locations, 15 Home stores, 10 Outlet stores, and 14 Sears Hometown stores. The closings resulted in 2,900 employee layoffs. These stores officially closed on Sunday, October 1, 2017. In September 2017, Sears Canada announced the closing of 10 additional stores, in addition to the 59 store closings previously announced in June. On October 10, 2017, Sears Canada announced that it would seek court approval to shut down all of its remaining stores in Canada and lay off 11,240 remaining staff. The approval was granted by the Ontario Superior Court on October 13, 2017.Liquidation sales began on October 19, 2017. The remaining Sears stores closed on January 14, 2018. Store fixtures and equipment from the closed stores were sold until January 26, 2018."
414,Second Cup,"Second Cup Coffee Co., also known as Second Cup CAFÉ & Cie, is a Canadian restaurant chain, coffee retailer, and roaster which operates more than 190 cafes nationwide. Its headquarters are in Mississauga, Ontario. Its stores sell hot and cold beverages, pastries, snacks, pre-packaged food items, hot and cold sandwiches, and drinkware, including mugs and tumblers.
Second Cup has franchises in the United States, Morocco, Saudi Arabia, Bahrain, Kuwait, Oman, Qatar, Lebanon, Jordan, Egypt, Finland, United Arab Emirates, Iraq, Syria, Yemen, Cyprus, Azerbaijan, Angola, Ghana, Lithuania, Romania, Pakistan, United Kingdom, Philippines, Bangladesh, and Poland.

"
415,Sepro Mineral Systems,"Sepro Mineral Systems Corp. is a Canadian company founded in 1987 and headquartered in British Columbia, Canada. The outcome of the acquisition of Sepro Mineral Processing International by Falcon Concentrators in 2008, the companies' key focus is the production of mineral processing equipment for the mining and aggregate industries. Sepro Mineral Systems Corp. also provides engineering and process design services while continuing to advance its machine technology through research and development. Proprietary technology produced by Sepro includes grinding mills, ore scrubbers, vibrating screens, centrifugal gravity concentrators, agglomeration drums, and dense media separators. The company is also a supplier of single source modular pre-designed and custom designed plants and circuits which are made of Sepro's proprietary equipment as well as third-party products.Today, Sepro Mineral Systems Corp. is represented by global agents in over 15 countries and has equipment operating in over 31 countries around the world.

"
416,Servus Credit Union,"Servus Credit Union is a member-owned, community-based financial institution based in Edmonton, Alberta, and in 2015 became the second largest credit union in Canada and the largest credit union in Alberta. Servus has around 380,000 members who are served by close to 2,400 employees from 100 locations in 59 communities across Alberta and as of 2021 has $17.2 billion in assets under its administration.

"
417,Shaftebury Brewing Company,"The Shaftebury Brewing Company is a craft brewery started in Vancouver, British Columbia in 1986. Shaftebury was sold to Sleeman Breweries in 1999. In 2014, the brand was sold to Fireweed Brewing Company, Tree Brewing.
Beers produced include Four Twenty Brilliant Lager, Coastal Cream Ale, Wet Coast Wheat Ale, Easy Honey Pale Ale, Summer Days Premium Pilsner, and Winter Nights Black & Tan."
418,Shaw Communications,"Shaw Communications Inc. is a Canadian telecommunications company which provides telephone, Internet, television, and mobile services. Headquartered in Calgary, Alberta, Shaw provides home telecommunications services primarily in Alberta and British Columbia and satellite television nationally. It also operates smaller cable television systems in Saskatchewan, Manitoba, and Northern Ontario. Shaw provides mobile services through its subsidiary Freedom Mobile, under both the Freedom and Shaw Mobile brands, in areas of Alberta, British Columbia, and Southern Ontario. The company's chief competitor for home telecommunications in western Canada is Telus Communications.

"
419,Shell Canada,"Shell Canada Limited (French: Shell Canada Limitée) is the subsidiary of British conglomerate Shell plc and one of Canada's largest integrated oil companies. Exploration and production of oil, natural gas and sulphur is a major part of its business, as well as the marketing of gasoline and related products through the company's approximately 1,800 stations across Canada.
After a global reorganization by the European parent, Shell's North American operations are controlled by Shell Energy North America, which is headquartered in Houston, Texas. Shell Energy North America's Canadian operational unit, Shell Canada, maintains a regional corporate office in Calgary, Alberta. Shell Canada also maintains a major office in Toronto, Ontario.

"
420,Shopify,"Shopify Inc. is a Canadian multinational e-commerce company headquartered in Ottawa, Ontario. It is also the name of its proprietary e-commerce platform for online stores and retail point-of-sale systems. The Shopify platform offers online retailers a suite of services including payments, marketing, shipping and customer engagement tools.The company reported that it had more than 1,700,000 businesses in approximately 175 countries using its platform as of May 2021. According to Builtwith, 1.58 million websites run on the Shopify platform as of 2021. The total gross merchandise volume exceeded US$61 billion for calendar 2019. As of 2021, Shopify is the largest publicly traded Canadian company by market capitalization. Total revenue for the full year of 2020 was US$2.929 billion."
421,Shoppers Drug Mart,"Shoppers Drug Mart Inc. (named Pharmaprix in Quebec) is a Canadian retail pharmacy chain based in Toronto, Ontario. It has more than 1,300 stores in nine provinces and two territories.The company was founded by pharmacist Murray Koffler in 1962; the Koffler family still retains ownership of the Super-Pharm pharmacy, which has locations in Israel, Poland, and formerly in China (as Ensure from 2005 to 2011). Super-Pharm's logo is similar to that of Shoppers Drug Mart, which was created by the artist Sylvain Liu. It also uses some of the same private-label brands, such as Life Brand and Quo.
In 2014, Brampton-based Loblaw Companies Limited acquired Shoppers Drug Mart for $12.4 billion in cash and stock. By early 2016, Shoppers had over 1,300 locations in Canada."
422,Shore Tilbe Perkins+Will,"Shore Tilbe Perkins+Will, formerly Shore Tilbe Irwin & Partners (STIP), is a Canadian architecture firm based in Toronto, Ontario. Since its founding as Shore and Moffat in 1945, and later as Shore Tilbe Irwin & Partners, the firm has completed numerous buildings, complexes and master plans across Canada, as well as at locations in the United States and Bermuda. From early educational and residential projects, the firm rose to prominence in the early 1950s, winning Governor General's Medals in Architecture and commissions from the government of Ontario for departmental buildings, and it went on to design prominent landmarks such as Purdy's Wharf in Halifax, Nova Scotia, and the redesign of Nathan Phillips Square in Toronto. The firm's scope today mostly encompasses community centres, libraries, pharmaceutical laboratories, offices and university teaching buildings, although the firm has also completed religious spaces, corporate interiors and public plazas."
423,Siemens Transportation Group,"The Siemens Transportation Group is a Canadian transportation business, headquartered in Saskatoon, Saskatchewan, that provides transportation.  In 2011 the group operated a total of 43 trucks and 753 tractor trailer trucks, with 1,893 trailers. 
The first company in the group was Kindersley Transport Ltd. founded in 1962, by Erwen Siemens, the organization has grown into a group of over 15 companies providing transportation services.

"
424,Sierra Wireless,"Sierra Wireless is a Canadian multinational wireless communications equipment designer, manufacturer and services provider headquartered in Richmond, British Columbia, Canada. It also maintains offices and operations in California, Sweden, Korea, Japan, China, Taiwan, France, Australia, New Zealand and Hong Kong.Sierra Wireless is an Internet of Things (IoT) solutions provider. The company sells mobile computing and machine-to-machine (M2M) communications products that work over cellular networks, 2G, 3G, 4G and 5G mobile broadband wireless routers and gateways, modules, as well as software, tools, and services.
Sierra Wireless products and technologies are used in a variety of markets and industries, including automotive and transportation, energy, field service, healthcare, industrial and infrastructure,  mobile computing and consumers, networking, sales and payment, and security. It also maintains a network of experts in mobile broadband and M2M integration to support customers worldwide.
The company's products are sold directly to OEMs, as well as indirectly through distributors and resellers.

"
425,Sifto Canada,"Sifto Canada, Sifto Salt, or simply Sifto Salt Canada is a salt mining and marketing company based in Canada, with its primary products being table salt, fine evaporated salt, water conditioning salt, agricultural salt, and highway deicing salt.   Sifto Canada is wholly owned by Compass Minerals.
Sifto was founded by Sam Platt who was prospecting for oil in 1866, and instead of oil encountered rock salt in Goderich Harbour on Lake Huron. Sifto Canada was formed in 1950 and the company was acquired by the United States chemical company Compass Minerals in the 1990s. The Goderich mine developed into the largest salt mine in Canada and remains a key source of salt for the company.

"
426,Sirius XM Canada,"Sirius XM Canada Holdings Inc. (commonly referred to as Sirius XM Canada) is a Canadian radio broadcasting company, which operates as a Canadian affiliate of Sirius XM Radio. The company received approval from the Canadian Radio-television and Telecommunications Commission on April 11, 2011 to merge the formerly distinct XM Radio Canada and Sirius Canada services, following the merger of XM Satellite Radio and Sirius Satellite Radio in the United States. The merger was subsequently completed as of June 21, 2011.

"
427,Sisu production,"Sisu production is a Canadian media and film production. Sisu production provides customized film production, animation and photography services to independent clients. The company was founded in 2013 by Jaana Hein and Robin Ingle. sisu production maintains a dedicated studio in addition to corporate office space in downtown Toronto.Sisu production works in different areas of film production and provides various media production services, including generating and developing ideas to a full range of production services. The company provides specialized services based on content requirements. In the past, they have produced  commercials, training videos, photography and documentaries and other media.The origin of the name ""sisu production"" comes from the Finnish word sisu, meaning strength, endurance, and determination."
428,Sleeman Breweries,"Sleeman Breweries is a Japanese-owned Canadian brewery founded by John Warren Sleeman in 1988 in Guelph, Ontario. The company is the third-largest brewing company in Canada. Along with its own Sleeman brands, the company produces under licence the Stroh's family of brands, Maclays Ale and Sapporo Premium beers for sale in Canada. The company's parent Sapporo owns 4.2 per cent of Ontario's primary beer retailer The Beer Store.The company is the re-establishment of a line of brewing companies owned by the Sleeman family dating back to the 1830s. The original Sleeman Breweries was established in the 1850s and operated until it lost its licence due to smuggling and tax evasion, for 50 years, in 1933.John W. Sleeman re-established the brewery in the 1980s using the original company recipes. In 2006, Sleeman Breweries was purchased by Sapporo Brewery for CA$400 million. John W. Sleeman remained as CEO until 2010 when he relinquished that role and was made Chairman of the company."
429,Sleep Country Canada,"Sleep Country Canada Holdings Inc. is a Canadian mattress retailer and with over 250 stores operating in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island and Nova Scotia.
In 2006, the company was ranked one of the top 50 companies to work for in Canada by the Globe and Mail. It is best known for its radio jingle, ""Why buy a mattress anywhere else? Ding!""
Sleep Country USA (now called Mattress Firm), an unaffiliated company, uses the same jingle.

"
430,Smart Technologies,"Smart Technologies (stylized as SMART Technologies) also known as Smart, is a Canadian company headquartered in Calgary, Alberta, Canada and wholly owned by Foxconn. Founded in 1987, Smart is best known as the developer of interactive whiteboards branded as the ""SMART Board"" popularly used in education and business."
431,SNC-Lavalin,"SNC-Lavalin Group Inc. is a Canadian company based in Montreal that provides engineering, procurement, and construction (EPC) services to various industries, including mining and metallurgy, oil and gas, environment and water, infrastructure, and clean power. SNC-Lavalin is the largest construction company, by revenue, in Canada, as of 2018.The firm has over 50,000 employees worldwide, with offices in over 50 countries and operations in over 160 countries."
432,Sobeys,"Sobeys Inc. is the second largest food retailer in Canada, with over 1,500 stores operating across Canada under a variety of banners. Headquartered in Stellarton, Nova Scotia, it operates stores in all ten provinces and accumulated sales of more than C$25.1 billion in the fiscal 2019 operating year. It is a wholly owned subsidiary of Empire Company Limited, a Canadian business conglomerate.It is a participant in the voluntary Scanner Price Accuracy Code managed by the Retail Council of Canada."
433,Soquelec,"Soquelec (French: société québécoise d'électronique) limited is a Montreal-based company that focuses on sales and service of scientific equipment for applications in materials and life sciences. It is the Canadian distributor of manufacturers of digital imaging technology and accessories, such as Electron Microscopy, Atomic Force Microscopy, X-Ray scanning and sample preparation. It is also a provider of laboratory consumables. Its sister company, Soquelec Telecommunications, specializes in the distribution of RF, microwave and millimeter-wave telecommunication components.

"
434,Splashdot,"SplashDot is a privately held company based in Vancouver. The company provides online loyalty programs and interactive promotions using gamification techniques, and powered by their software platform, nCentive. Founded in 2000 by Jonathan Csakany, President, and Patrick Watson, CEO, SplashDot progressed from offering user-generated content services to specializing in online customer loyalty and promotional programs.By 2007, SplashDot was working with 75% of Canada's gaming jurisdictions including Ontario Lottery and Gaming Corporation, Atlantic Lottery Corporation, Great Canadian Gaming, and other non-gaming organizations such as WestJet, Kraft Foods and Bell Canada.
In 2012,  opened up its second office on Montreal, Quebec, Canada.

"
435,St Hubertus & Oak Bay Estate Winery,"St Hubertus & Oak Bay Estate Winery is a Canadian wine grower and producer. It is in Kelowna, British Columbia, in the Okanagan Valley wine region."
436,Stanfield's,"Stanfield's Limited (English: ) is a Canadian garment manufacturer based in Truro, Nova Scotia, with approximately 550 employees, whose company's products are sold throughout Canada and around the world."
437,Stelco,"Stelco Holdings Inc. (known as U.S. Steel Canada from 2007 to 2016) is a Canadian steel company based in Hamilton, Ontario. Stelco was founded in 1910 from the amalgamation of several smaller firms. It continued on for almost 100 years, until it filed for bankruptcy in 2007 and was bought by U.S. Steel. In 2016, the company was sold to Bedrock Industries of the United States, which took the company public. The company made its debut on the Toronto Stock Exchange on Nov. 3, 2017.The Hamilton plant has not produced steel since 2011, but its coke ovens and cold rolling finishing works remain in operation. The company employs about 750 people in the Hamilton plant and 1,400 in Nanticoke, Ontario at its greenfield facility Stelco Lake Erie Works.

"
438,Sun Life Financial,"Sun Life Financial Inc. is a Canadian financial services company; it is primarily known as a life insurance company.
Sun Life has a presence in investment management with over CAD$1.3  trillion in assets under management operating in a number of countries. And over $125 billion in (AUA) Assets Under Administration as of 2020. Sun Life ranks number 273 on the Forbes Global 2000 list for 2019."
439,Suncor Energy,"Suncor Energy is a Canadian integrated energy company based in Calgary, Alberta. It specializes in production of synthetic crude from oil sands. In the 2020 Forbes Global 2000, Suncor Energy was ranked as the 252nd-largest public company in the world.Until 2010, Suncor marketed products and services to retail customers in Ontario through a downstream network of 280 company-owned, and 200 customer-operated retail and Diesel fuel sites, primarily in Ontario under the Sunoco brand (owing to Suncor having originally been established as a subsidiary of Sunoco). In 2009, Suncor acquired the former Crown corporation Petro-Canada, which replaced the Sunoco brand across its existing outlets. Suncor also markets through a retail network of Shell and ExxonMobil branded outlets in Colorado."
440,Sun-Rype,"Sun-Rype Products Ltd. is a Western Canadian fruit-based food and beverage manufacturer. Since its foundation in 1946, Sun-Rype has been producing juices and fruit snacks based in Kelowna, British Columbia, in the Okanagan.

"
441,Sunward Aerospace Group,"Sunward Aerospace is the short name of an incorporated company started in early 2000 producing a line of model rockets. Originally called Sunward Model Aerospace, the name is now Sunward Aerospace Group Limited.  The company is located in Toronto, Ontario, Canada.
The company switched owners in October 2004 and since expanded the line of model rockets including general rockets, payload, and pyramid rockets.  Sunward Aerospace also produces a line of wood kits which include a trebuchet, a catapult, a ballista and an elastic powered racer.
The company introduced additions to the line of model rockets in April 2007 and also added a paper telescope kit for the school market.
In July 2013, the company expanded Canadian operations by opening a retail hobby store in Toronto serving the Canadian market."
442,Swiss Chalet,"Swiss Chalet is a Canadian chain of casual dining restaurants founded in 1954 in Toronto, Ontario. Their website shows exactly 199 locations in Canada across eight provinces (all provinces but Saskatchewan and Quebec); the vast majority of Swiss Chalet locations (162) are in Ontario. Swiss Chalet is among the holdings of Recipe Unlimited, which also owns the fast food chain Harvey's. Swiss Chalet and Harvey's franchises share many locations.Swiss Chalet franchises include a variety of points of sale. The company's locations generally have an architectural alpine theme, a dining room, a take-out counter, and delivery. Some feature drive-thru windows while other locations in certain urban areas are only take-out counters and are more akin to fast food restaurants. The brand also has an online food ordering system. Recipe Unlimited retails signature Swiss Chalet sauce, gravy, and marinades (as powdered mixes) in Canadian supermarkets.

"
443,SydneyPLUS International,"SydneyPLUS International, now known as Lucidea Corporation, is a Canadian computer company based in Richmond, British Columbia.   The company offers products and services for library automation and knowledge management to special libraries, particularly law firms."
444,Syncrude,"Syncrude Canada Ltd. is one of the world's largest producers of synthetic crude oil from oil sands and the largest single source producer in Canada.  It is located just outside Fort McMurray in the Athabasca Oil Sands, and has a nameplate capacity of 350,000 barrels per day (56,000 m3/d) of oil, equivalent to about 13% of Canada's consumption. It has approximately 5.1 billion barrels (810,000,000 m3) of proven and probable reserves (11.9 billion when including contingent and prospective resources) situated on 8 leases over 3 contiguous sites. Including fully realized prospective reserves, current production capacity could be sustained for well over 90 years.The company is a joint venture between four partners (Suncor Energy (58.74%), Imperial Oil (25%), Sinopec (9.03%) and CNOOC (7.23%)).  As a result, Syncrude is not traded directly, but rather through the individual owners.
The ownership board must approve all annual operating budgets and proposed capital spending projects, and are required to provide the funding for said activities based on their ownership share.

"
445,Synex International,Synex International Inc. (TSX: SXI) is a Vancouver-based company that has traded on the Toronto Stock Exchange since 1987. It is made up of two wholly owned subsidiary companies: Synex Energy Resources Ltd. (the Energy Division) and Sigma Engineering Ltd. (the Engineering Division).
446,T & T Supermarket,"T & T Supermarket is a Canadian supermarket chain that sells primarily Asian foods. The company is headquartered in Richmond, British Columbia. In 1993, the first T & T was opened in Burnaby's Metropolis at Metrotown, a shopping centre in the Metrotown area in the Greater Vancouver region. T & T's current CEO is Tina Lee, who succeeded her mother Cindy Lee in 2014.The stores range in size from 35,000 sq ft (3,300 m2) to 74,000 sq ft (6,900 m2). In addition to the many departments found in a regular supermarket, most T & T stores also have an in-house bakery, an Asian deli, a sushi and Chinese barbecue department.
The name T & T itself stands for the names of Cindy Lee's two daughters, Tina and Tiffany. T & T also represents the names of the two major investors involved when the company was founded in 1993; Tawa Supermarket Inc. and Uni-President Enterprises Corp. (The Chinese name for which is pronounced ""Tung Yee""). The Chinese characters in the logo, 大統華 (pinyin: dà tǒng húa), translate literally as ""Big United China""."
447,Talentvision,"Talentvision is a Canadian Mandarin Chinese specialty channel. It is owned by the Vancouver-based Fairchild Media Group (a subsidiary of the Fairchild Group) and TVB. Talentvision's studios are located inside Aberdeen Centre in the Golden Village district along with Fairchild TV and Fairchild Radio, in Richmond, British Columbia.
Talentvision features programming from China as well as Taiwan. It also has a Korean and Vietnamese block of programming. Originally it was a regional TV station only available in British Columbia but it is now available nationally across Canada.
Talentvision is the first Mandarin channel in Canada and it first went on the air in 1993 (together with Fairchild TV). It started out as a channel with mixed Cantonese and Mandarin content. Originally the broadcasting content was 60% Cantonese and 40% Mandarin. It started broadcasting entirely in Mandarin from June 1998 onwards. All of the Cantonese programs were transferred to Fairchild TV.

"
448,Talisman Energy,"Talisman Energy Inc. was a Canadian multinational oil and gas exploration and production company headquartered in Calgary, Alberta. It was one of Canada's largest independent oil and gas companies.  Originally formed from the Canadian assets of BP Canada Ltd. it grew and operated globally, with operations in Canada (B.C., Alberta, Ontario, Saskatchewan, Quebec) and the United States of America (Pennsylvania, New York, Texas ) in North America; Colombia, South America; Algeria in North Africa; United Kingdom and Norway in Europe; Indonesia, Malaysia, Vietnam, Papua New Guinea, East Timor and Australia in the Far East; and Kurdistan in the Middle East. Talisman Energy has also built the offshore Beatrice Wind Farm in the North Sea off the coast of Scotland.
The company was acquired by Repsol in 2015 and in January 2016 was renamed to Repsol Oil &  Gas Canada Inc.The company initially grew quickly through a number of mergers and acquisitions, which reflects in the complex history and large diversity of holdings. In the 2015 Forbes Global 2000, Talisman Energy was ranked as the 1728th -largest public company in the world. Talisman was the first Canadian company to join the Voluntary Principles on Security and Human Rights Plenary Group (Voluntary Principles on Security and Human Rights) and is a participant in the United Nations Global Compact.

"
449,Tamarack Developments Corporation,"Tamarack Development Corporation (Tamarack Homes) is a firm that was started in 1987 and is a subsidiary of Taggart Group of Companies in the Ottawa-Carleton region. In 2005, Tamarack joined Tartan Homes to build Jackson Trails in Stittsville, Ontario, Canada, which was Canada’s first community of Energy Star homes. In 2014 the two builders launched their latest joint project at Poole Creek Village in Ottawa's west end. The Builder launched its first solo condo project in 2014, in Hintonburg, Ontario, Canada. In 2012, Tamarack became a title sponsor of Ottawa Race Weekend in Ottawa, Ontario, Canada.
In February 2003 the company was fined $150,000 after pleading guilty to failures  under the Ontario Occupational Health and Safety Act, where a surveyor was killed by heavy equipment on a construction site in Ottawa."
450,Taseko Mines,"Taseko Mines Limited is a mid-tier copper producer located in British Columbia, Canada. It operates Gibraltar Mine, the second largest open-pit copper mine in Canada, and is in the planning stages for several other mines including the Prosperity Mine, Harmony, and Aley.  All production is sold at non-hedged market based prices. The market capitalization currently is roughly 740 million dollars."
451,Teck Resources,"Teck Resources Limited, known as Teck Cominco until late 2008, is a diversified natural resources company headquartered in Vancouver, British Columbia, that is engaged in mining and mineral development, including coal for the steelmaking industry, copper, zinc, and energy. Secondary products include lead, silver, gold, molybdenum, germanium, indium and cadmium. Teck Resources was formed from the amalgamation of Teck and Cominco in 2001. In the 2020 Forbes Global 2000, Teck Resources was ranked as the 1616th -largest public company in the world.In 2018, Teck Resources opened the C$17 billion Fort Hills oil sands project. In 2020, Teck abandoned plans for a second, larger C$20 billion open-pit petroleum-mine proposal—Frontier Mine—25 km (16 mi) south of Wood Buffalo National Park and north of Fort McMurray in northeast Alberta.In 2020, a number of new executives were appointed to the company: Harry Conger as chief operating officer, Jonathan Price as chief financial officer, and Nicholas Hooper as senior vice president, corporate development.

"
452,Teledyne DALSA,"Teledyne DALSA (formerly DALSA Corporation) is a Canadian company specializing in the design and manufacture of specialized electronic imaging components (image sensors, cameras, frame grabbers, imaging software) as well as specialized semiconductor fabrication (MEMS, high voltage ASICs). Teledyne DALSA is part of the Teledyne Imaging group, the  leading-edge imaging companies aligned under the Teledyne umbrella.

"
453,Telesat,"Telesat, formerly Telesat Canada, is a Canadian satellite communications company founded on May 2, 1969. The company is headquartered in Ottawa.

"
454,Telus,"Telus Communications Inc. (TCI) is the wholly owned principal subsidiary of Telus Corporation,: 47  a Canadian national telecommunications company that provides a wide range of telecommunications products and services including internet access, voice, entertainment, healthcare, video, and IPTV television. The company is based in the Vancouver, British Columbia, area; it was originally based in Edmonton, Alberta, before its merger with BC Tel in 1999. Telus' wireless division, Telus Mobility, offers HSPA+, and LTE-based mobile phone networks. Telus is the incumbent local exchange carrier in British Columbia and Alberta. Telus' primary competitors include Shaw Communications (in the western provinces). It also competes in the mobile sector with Shaw Communications, Rogers Communications and Bell Canada. Telus is a member of the British Columbia Technology Industry Association."
455,Tembec,"Tembec Industries Inc., known as Tembec, was a paper company in Canada, founded by Frank Dottori. In 2011, Tembec had approximately 3000 employees, with locations in Canada, United States, and France. Tembec's operating divisions included Forest Products, Pulp, Paper & Paperboard, and Chemicals."
456,The Bargain! Shop,"The Bargain! Shop Holdings, Inc., also known as TB!S, is a discount variety store chain operating in all Anglophone provinces in Canada.
The Bargain! Shop originated as a closeout store division of Woolworth Canada, developed out of some of the bankrupt assets of Bargain Harold's in 1991. The chain averaged 10,000 square feet (930 m2) and grew into 90 stores within just a year of its establishment.
In late 1993, in order to try to make the Woolworth variety stores profitable in Canada, 101 of 123 Woolworth stores were converted to The Bargain! Shop, therefore bringing the total number of stores to 194. Some of the larger Woolco stores were also converted to The Bargain! Shop.
In late 1999, in a rush to try to pay the debt on time, Venator Group Inc. closed 109 stores (including all stores in the province of Quebec) and sold the rest of The Bargain! Shop chain to a Canadian investment company. However, the closures only reduced sales from $259 million to about $100 million.
In 2008, it was announced that The Bargain! Shop had acquired 93 of the former SAAN locations. They are mostly located in Atlantic Canada and Ontario.[1]
In September 2012, The Bargain! Shop began re-branding their stores to Red Apple in most towns.

"
457,The Brick,"The Brick Ltd. is a Canadian retailer of furniture, mattresses, appliances and home electronics. The company was founded as The Brick Warehouse LP by brothers, John, Fred, and Bill Comrie. The first warehouse opened on September 1, 1971 in Edmonton, Alberta. Its first expansion was to Fort McMurray, Alberta in the 1970s and later acquired a competitor in the city of Calgary.   
Over the past 35 years, The Brick has expanded across Canada and now operates 135 retail stores (including 20 franchise locations) in the provinces of Alberta, British Columbia, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, the Yukon and the Northwest Territories. (Quebec stores are branded simply as Brick.) In addition, the Brick Group Income Fund operates distribution centres in Calgary, Edmonton, Vancouver, Winnipeg, Toronto, Montreal and Dartmouth.

"
458,The Embassy Visual Effects,"The Embassy is a visual effects studio located in Vancouver, British Columbia, Canada. The Embassy is known for its photo-realistic visual effects work on commercials and more recently, features.
The studio completed a number of visual effects shots for Marvel Studios, Iron Man and more recently contributed effects to the climactic sequence of the Peter Jackson produced film, District 9. The Embassy's visual effects work on District 9 was nominated for an Academy Award.The Embassy is most famous for a series of commercials created for French automobile maker, Citroën. The commercials feature a computer generated car which transforms into a robot. The visual effects created for the first Citroën commercial were the subject of a promotional campaign by Apple Inc., promoting the use of its compositing software, Shake.
The Embassy has also worked on advertising campaigns for Nike, Mercedes-Benz, Chevrolet and GMC."
459,The Globe and Mail,"The Globe and Mail is a Canadian newspaper printed in five cities in western and central Canada. With a weekly readership of approximately 2 million in 2015, it is Canada's most widely read newspaper on weekdays and Saturdays, although it falls slightly behind the Toronto Star in overall weekly circulation because the Star publishes a Sunday edition, whereas the Globe does not. The Globe and Mail is regarded by some as Canada's ""newspaper of record"".The newspaper is owned by The Woodbridge Company, based in Toronto.

"
460,Canada Life,"The Canada Life Assurance Company, commonly known as Canada Life, is an insurance and financial services company with its headquarters in Winnipeg, Manitoba. The current company is the result of the 2020 amalgamation of The Great-West Life Assurance Company, London Life Insurance Company and The Canada Life Assurance Company, along with their holding companies (London Insurance Group Inc. and Canada Life Financial Corporation). The company is a wholly owned subsidiary of Great-West Lifeco.

"
461,The Insurance Company of Prince Edward Island,"The Insurance Company of Prince Edward Island, was established by Charlie Cooke in 1987 in Prince Edward Island. In 2001 SGI purchased a 75% share of the insurance company at a cost of $2.7 Million Canadian from CGU Group with the remaining shares being owned by the Cooke family. The company provides a full line of automobile, home and commercial insurance in the Canada provinces of Prince Edward Island, New Brunswick, and Nova Scotia.

"
